id,name,flag,reason
xdht-4php,Housing Production - 2005-present,core,"Project scale for built or pipeline projects, reached through the case stem."
xidx-bh43,Map of Tsunami Inundation Hazard Zone (2021 Update),not relevant,A map view; the dataset it draws carries the data.
xk8z-bcqz,San Francisco Open Space for Shadow Study Analysis,possibly useful,Open-space boundaries used in shadow studies: shadow is a recurring ground for discretionary review.
xpdk-pzjd,2015 Project Appendix,not relevant,"City capital projects and facilities; public works, not private development."
xu9j-dnfu,Datasets in 'Scoping' or 'In Progress' phase,possibly useful,"The city's inventory of candidate datasets, published or not: where an unpublished Commission-actions table would appear."
xw26-dnmx,COVID-19 Tenderloin Plan Zones,not relevant,Matches the word 'planning' in its text; nothing to do with land-use regulation.
xzb6-i4dc,Historic Height & Bulk Districts - 2010,core,"A height-and-bulk vintage, joined spatially into the zoning panel."
xzez-p3nc,Zoning Map - Zoning Districts,core,A current zoning-map layer carried forward in the panel from 2016.
y5fw-t3z4,AHBP_zoning_districts,possibly useful,The zoning districts behind the Affordable Housing Bonus Program eligibility.
y673-d69b,Planning Department Records - Non-Projects,core,"The Planning Department's own records: filing dates, the building_permits bridge, unit counts."
y6ci-vpnb,San Francisco Environmental Justice Communities Map,possibly useful,Environmental-justice communities: a policy geography used in review.
y75h-nbt2,Map of Historic Districts,not relevant,A map view; the dataset it draws carries the data.
y7mn-8sik,Historic Special Use Districts - 2015,possibly useful,A dated special-use district vintage; the zoning panel carries only the current SUD layer.
y8fp-fbf5,Dataset inventory,possibly useful,"The city's inventory of candidate datasets, published or not: where an unpublished Commission-actions table would appear."
y8v4-jjwg,Map of Historic Resource Status by Property,not relevant,A map view; the dataset it draws carries the data.
ybh5-27n2,Traffic Signals,not relevant,A transportation dataset; the word 'planning' appears in its text.
ygi5-84iq,[ARCHIVED] San Francisco Land Use - 2020,possibly useful,An archived land-use vintage; with the current layer it makes a land-use panel.
yk2r-b4e8,Areas Damaged by Fire Following 1906 Earthquake,not relevant,A map view; the dataset it draws carries the data.
ykqf-4jmt,Commerce & Industry Inventory 2011,not relevant,"Annual commerce and industry reports as documents, 2011--2012."
yrgu-vakm,Right of Way Exception Data,not relevant,A Public Works street or right-of-way dataset; not a land-use decision.
